edge,r2,x,f_kan,f_cubic
2,0.9427,0.3906,-0.02149,-0.0203
2,0.9427,0.4015,-0.02102,-0.01989
2,0.9427,0.4125,-0.02052,-0.01944
2,0.9427,0.4235,-0.01997,-0.01897
2,0.9427,0.4344,-0.01939,-0.01846
2,0.9427,0.4454,-0.01877,-0.01793
2,0.9427,0.4563,-0.01812,-0.01737
2,0.9427,0.4673,-0.01742,-0.01678
2,0.9427,0.4783,-0.01668,-0.01615
2,0.9427,0.4892,-0.01591,-0.0155
2,0.9427,0.5002,-0.0151,-0.01481
2,0.9427,0.5112,-0.01425,-0.01408
2,0.9427,0.5221,-0.01336,-0.01333
2,0.9427,0.5331,-0.01243,-0.01254
2,0.9427,0.5441,-0.01147,-0.01171
2,0.9427,0.555,-0.01047,-0.01085
2,0.9427,0.566,-0.00944,-0.00995
2,0.9427,0.577,-0.00837,-0.00902
2,0.9427,0.5879,-0.00727,-0.00804
2,0.9427,0.5989,-0.00614,-0.00703
2,0.9427,0.6099,-0.00497,-0.00598
2,0.9427,0.6208,-0.00378,-0.00489
2,0.9427,0.6318,-0.00255,-0.00376
2,0.9427,0.6428,-0.0013,-0.00259
2,0.9427,0.6537,-3e-05,-0.00138
